sentence,label
wow ya frère merci sanfara,1
mahlk 5o5o ana natb3 fik fi talvza,1
awel mara nasmi3 3id lmar2a chnawa ma3neha,1
ma3ek slim,1
wa7dak ya si slim,1
oussamoussam eyh ena zeda kifek,1
hm d awel mara nesm3o menek kelma fi belasetha,1
touuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuus avec toi si moncef,1
wahra mteek tjue kane raiise,1
wahra prestige flouss chnoua thebou yezina metahana,1
taraji daola,1
ahsen ma3mal,1
tounis fawka koulli i3tibar,1
m3allem ye slouma cha3b koulou m3ak,1
gj keep going asshole,1
rabbi ifarej,1
walah is7i7 rabi younsorhoum,1
al çafila tasir w kilab tanbah,1
dayeem rabbi,1
hahahahaha si bien,1
allah yara7mou 3am taher,1
rabi arzokni doriya saliha mit had tfal macha lah,1
7ob el jame3ya aghla el l9ab loool,1
photo tfata9 ma7lekom rabi yhanikom,1
ia slouma ia behy jibelna dhawediiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,1
allah yarhem waldik,1
aya él 6 mois wféw barnousék w 7nak él béb,1
rabbi m3ak mr marzouki,1
el barka fikom ya zanatir,1
09 06 2020 1 million vue,1
inchalah tounes dima be kiiiiiiiiiiiiiiiiiiiiiiiiiiir,1
mabrouk lel king touneseya twalli 7amra ou bidha,1
bkit bezf machalh alih rebi yechfiha,1
ghodwa lkolha bech tedez m3ak masla7et ca kbal lasami,1
3ora ma9boula,1
j adooore hhhh bravo diva,1
rajl sa7by,1
allah yarhmouuuuuuuuuuuu,1
jlali walah dha7aktni hhhhh,1
bsara7a 7alou barcha mchakel,1
w a5ira,1
bravo notre cher bureau mazel bekri khoudhou wa9etkom,1
bravo haykel 5dma bhya j adore,1
malehaa bravoooo sanfour et gatiii,1
il a bien parler,1
ma7lekom rabi m3akom,1
rabi ma3ke slim riahi,1
louled win ken m5obbi hedha mouch nrmlll y zebbiii,1
bravooooooooo slim wassel ahna m3ak,1
bravo l,1
m7liha f9ou baya,1
slim yam3athebhoum,1
rebi yerhmou w ywesa3 3lih,1
med grira mounir grira nizar ben rejeb dima patron,1
slim riahi hou enchallah rais eddawla,1
wadek ya sloumaaaa,1
bonne anniversaire ya lefri9i ya ghalia,1
bravo si slim ma7leeek wenti clubiste,1
inchallah kol chey bil barka,1
voila bien dit,1
tawa tilhalna bil ghalia w rabi m3ak,1
rabbi yechfih nchlh,1
happy sweet anniversary,1
slim 3oud dima saker telifounek,1
8888888888888888888888888888888 m3ak forever,1
slim m3alemmmn,1
rabi ywaf9 nchala,1
tounes w dzayer kolhom m3ak ya sloma,1
ahh 7chouhoulek fi 9sar hlal hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,1
qui aime choufli hal laik,1
hathaka elmakan etabi3i mta3 ca wnchala nhezo elbotola ya rab,1
hhhhhhhhhhhhhhhhhhhhh mala 3a9liya,1
rabi ijibe khire nchalah khoya 3ala rabi,1
hhh enchalah labes,1
bon continuation w rabi em3ana nchallah ya a7la président,1
ma7leha lfar7a yaaaa rabiiiii fare7na,1
tbarkallah 3al jbéli,1
nchallah labess jam3eya tbacher be koll 5ir,1
behia l kabsa,1
enchalah labés ya slayem,1
echa3eb m3ak yaslim,1
dima m3ak ya slouma,1
hezzelna champions league tebda rais melekhert,1
brvo klye klye brvo,1
mabrouk et nchalah ma guir hariga witawra okra,1
hhhhhhhhhh m3allem,1
i love my wife and my queen ahlem,1
seloma y a me3lem,1
bravo klay bien courage,1
bravo y a si lotfi,1
si slim nahna jomhour caaaaaaa mankhafou welou,1
bravo batron,1
i5dem ya si slimmmmmm w ya5rolek fihhhhhhhhhhhhhh cha3eb ca m3ak,1
mr6 beaucoup manoula,1
walah sindide w 9albak abyad,1
4 52 haw 3andi votca feha 92 mil alcole,1
na9sa scenario apart ça kol chay top,1
abléd ra2iis jam3ia fel 3allém hahahahaha,1
ma3adhibhoum tjrs,1
big boss aidek mabrouk,1
bravo mr le president allez y,1
aaaay loove my tunisia good job sayfoon,1
elli ya3mel abonnè lel chaine mta3y tarja3lou et merci 3,1
allah yakhluha minhom,1
vive le roi slim,1
bravo a celui qui l arreter,1
bravo slouma rabi yfadhalek,1
rabi ya7mik,1
mehouch kharej alik hata taref,1
excellent video good job,1
clubist m3a béjbouj,1
rajel ya slouma ya m3allem bech ya3rfou 9imet ca,1
ena clubisti ila lemem i7na wrak,1
rabbi eba3ed 3lina el houssed,1
a9wa raper,1
bon courage osdem matar7amhomech chnia nahdha bech twelli,1
macha alah,1
club dawla,1
bara rabi m3ak wo m3a jam3ia wo matesma3eche ittahana,1
rabi yonsrk slouma mat7ot chay fi balek kol chay yfot,1
sanfara min dzr nmout alik khouya,1
allah yensrik wyensirhom,1
a3mlou tala 3ala chaîne mta3i,1
mabrouuuk touchant du bois thablou,1
5anha thra3ha galet mass7oura rabi m3ak slim,1
hathi kas tafha nabno man jdid,1
nta insen mlih nhabok okhtek men alger,1
mabrouke 3alina w nchalah marbou7a,1
dima m3ak slim,1
rabi maaak,1
bayouta yesser 3ssal machallah 3lik zin w 3in,1
rabi ime3ak,1
bravo bravo bon retour,1
wallah 7lou mouch 5ayeb wasel fi style hadha,1
koul 3am w entouma belf 5eyer,1
bravo abou kousssay,1
ki netfarej fik netfarhed la meilleure instagrameuse,1
hh men 3anddd 5nyycherrrrr,1
mala mgarb3a,1
etberkala ala weld ami,1
10000 mabroook yosr yetraba f3ezkom nchalaaah,1
mabrouk mahlekom wmachalah 3likom,1
mazlti chaba,1
macha allah klay bbj rabi yahfazak,1
kol 3am wenti 7ay b 1920 khir,1
mabrouk manzedlek,1
tokeed dima weld jam3eya,1
cha3b ca m3ak ya si slim,1
bitawfii9 inchalah,1
rabi yonsor kol we7ed eydefe3 3la leslem welmoslimin,1
rabi yhannnnik wybaed blaa alik,1
l7al 5ir,1
al hamdou lillah tounis bikhir rabi ywaf9ek,1
nshallah alf mabrouk,1
3idek mabrouk kol 3am winti balf kir président,1
ana win,1
rabi m3ak w ya7fadhna min 3in il 7asoudine,1
topppppp tjr toppppppp,1
you deserve a corona i mean a real golden corona,1
a7sen rapeur wasel rabi m3aak,1
aqwa jiji f denya,1
upl inchalah marbou7a,1
intii im3ahom hhh,1
brinka baso hhh rayan hta hna lgitk,1
vive ria7i,1
j aimeeeee,1
allah ykhalih lik o allah y7afdo lik man kol char,1
a9wa rappeur fi tounes,1
alah yara7amo,1
amine ya rab allahomma ostorna,1
7abina ca me3ch9nch tetrote,1
sanfara gooood,1
bellehi metensoch el mte3 9aser hlel,1
mahlek w mahla zinek w tcha9nisek zeyed fik chtar,1
benet bledi,1
im3alem ok,1
alah la imardhou,1
allah y3ar7mou,1
bravooo cpr,1
rabi efathalhoulik president,1
omg amazing work seif,1
dam berd barcha bravo,1
mahelk mahlek mahelk kima kotlek men kbale keep shinning girl,1
weslu luled haja jdida fi rap tunsi new culture,1
bravo capo slouma ya rabi ya 3ali onsor lefri9i,1
inchala mina alfayizin pour quoi pas,1
hmd kihabatha finalement,1
alah ychafiha wy3afiha way5aligalk yarbi,1
allah ichfiha ya rabi,1
rabbi m3ak willkolna m3ak,1
achihemek fel nabara ta rajel ti chtarhom kano 3omala,1
allahe yarham,1
bravo sloma ama mttinsaach de programme pour les ca,1
m3lm saloma,1
thabl ya tahfouna,1
trop belle la rayou,1
enchellah yatl3ou erjel w yehdouhaina,1
twetiw b3adkom ghati w sanfara,1
sa7a wiiwww,1
likbiir yab9a kbiiir ye rou7i w vive ca,1
bonne annee m slim,1
ken dabart fb tayech,1
hmd nchalah dima lifriki fi 3alali ya rab,1
slouma ya m3alem ya m3adhebhom,1
i miss your nice ass,1
rabb i maah,1
1000 mabrouk,1
sbe7 ell5ir ye m3alem,1
a7la e5titem w a7la slim,1
bnjourno patron,1
allah yar7im echouheda w tounis dima feha erjel we7nou leha,1
mabroukkkkkk frère et doudoy,1
slouma ya m3alem ya mhbelhom,1
elakliya kolha bjanbek matrjach ltali snin dayma bravo,1
balhi wa9tch takwr jam3ya svp,1
hhhhhhhhhhhhhh m3allim,1
rabi maak sloum ya tahfon,1
vive dr marzouki vive le cpr,1
brabi el wa9t mta3 el match,1
habbalni soutek wlh 3,1
choufou chkoun 3ad,1
sanfara bro rabi m3ak ta7eya mn dubai,1
i need 1 million sub on my chanel,1
tu es très belle mashallah ma princesse,1
touniss ma3mell téjèrib,1
wallah bravo,1
karim chad talifoun bel ma9loub,1
i5dimm rabbi i3inek c tout,1
dima ekbir ya si slim ya em3allem allah yar7amhoum,1
bravo hsan,1
klemm behiii barchaaa,1
mabrouk 3la 3amar bech ywali yal3eb fi ca,1
khalik dima keoii inti kir minhom,1
bravo slim ca rabi m3ak,1
waaaaaaaaaaaaaaaaaaaw je l adooooore vrm bravooooooo 3 3 n,1
wahdek ya slouma ki ton9ech,1
bravo des mots d un vrai leader,1
berrasmi echriha,1
mach andre brille man,1
irjel boujouha rabie kbir,1
wa7dek ya ma3lem tawa zou walex,1
dharbet m3alem ya m3alem c b1,1
inchalla ya rabbi m3ana,1
el goul ejdid,1
machallah rabi yehmik,1
quand tu vas visiter enfidha mr slim on vous attends,1
bon année nchalah kol 3am wenti b 1000000 5ir,1
wine mnesma3ha nebkii rahamete allah 3lik bouya elghalii,1
respect kemil,1
aw lenna,1
haw el klem esswab,1
a7sen raéis fi tari5 nediii wallah,1
rabbi mhak patron wmarhbe bik fi jamiytik,1
k2rim sghayer hhhhhh,1
inti bach itrajr3 elmajd liljam3iya,1
salut nidhal ma7leha leblassa brabbi wine,1
bjehrabbi 3awd kalmou w 9ollou chkoun tayyech o5tek mel balkoun,1
ma3allam ya m3athebhom,1
bayouta l mezyena rabi yfadhalhelik,1
bon anniversaire ya 5alia,1
very very nice,1
ta7fona barcha,1
allah ahad alan ahad slouma ma lifou had,1
awel cmntr bravo,1
sahbi ala nhibik,1
andhomm rabb karim razzag rahim,1
ccccccccccccccccccaaaaaaaaaaaaaa ya dawlaaaaaaa,1
rabi i5alik lina ya slouma ifda7 ita7ana,1
bsahtek ma belle,1
bravoooooooooo ya m3al m,1
you are getting better good work,1
baya mon bb,1
c a madersa rabi ywafe9ha,1
vive louhichi,1
bravoooooooo si slim,1
hbel ya mnoula,1
3aychek nova dij,1
huwa 3andu lmelyarat wenti e7seb ya3affat yajabri,1
rajil haho es7i7,1
rabi yonsorkom wyahfadhkom,1
rabi yechfih w rabi ytawel f 3omrou,1
ca yhebiiiiii,1
3idak mabrouk,1
u r our leader go ahead,1
inna lilahi w inna ilayhi raji3oun,1
ichalah elnes elkol tkoun farhana fi tunis elhabiba,1
ca tv mr slim riahl,1
ahla yara7mou,1
forza ca et wac,1
bienvenue parmi nous,1
salem w nchallah nharkom zin ness koll,1
bravo slim wasel,1
rabi emmak président,1
omniati an altakia bik we ata3alama mink,1
t9tel bedo7k samara ya mhabelhom,1
top jonjoon,1
haja kima hakka makounech netsawrouha fi tunis,1
bravo slouma a9wa président de club fi tounes wlh,1
inchallah dima b5yr,1
trop chou,1
a3mal lel club stade,1
slouma ya m3adhebhom hh y,1
hhhhhhhhhh 9wiye 3lihom,1
hadi hiya rdat walidin bravo 3lik wlh,1
mel e5er championat 3and taragi,1
alaaah yarahmoooo,1
enchallah kol 3am w enti 7ay b 5ir said irayis,1
kol lila barcha fen saha zomra,1
rabi m3ak wcha3b elefriki m3ak,1
in chaa allah,1
selm mr,1
fama chkoun hhh deja tfol fi 8,1
thkitna fik kbira barcha,1
bravo slouma bravooo wenabara tsaker efamha,1
bravo persident,1
inchallah montasrin w rabi m3ak,1
yesrrr 9wiyaa clashh unique,1
que dieu te protège slouma,1
brabi y a slim,1
slouma ca 3aklia,1
ana mkacha5 ama monbaher bi slim riahi bravo,1
dope kifeh 32k twensa bech yesm3o,1
héthahowa tawadha3,1
ahla salouma walah twa7achnék,1
m3alm sahbi me jbel lahmer,1
malla saff w malla defame w malla clip,1
abiniiiiw m3aya,1
ça 7obbi lazla3,1
bravo rahom ta7anna tajama3 klebbbbbbb,1
bon compleanno,1
súper kafon f l9ima,1
im3alim y a islouma,1
machallah tres belle meriouma comme d hab,1
ahla sabah lik wi lina mon ami,1
rabi ykhalik ya slouma ama fama yaser nbara,1
rabbi yefadhalha enchallah princesse,1
haw aandi 3ers dm1 taw netsawer b costume w nabaath,1
bl baraka 3lik yyoooyoyoyoyoyoyyyo nchlh ykbr fi 3zkom rabi ya7fdholk,1
ya omri ytrba fi aezkom inshallah w rebi yhfdholk,1
inchalah rabi 3inkon w tunes dima ghaliya,1
j adore vintage style abd3ou,1
borjolya mwaher bledna ne9sa barcha meno kaleb wala behi mwaher,1
ana ma3jbnich enta khirrrrrrr,1
a l a hlouwa lghnoya yesr,1
ena zeda m3a moatamar,1
hata howa waket koura zeda,1
kol 3am wenti b5ir enti tal3ate seide rejal,1
kol ame wenta hay bkhir,1
ca cha3b wnchalalah lenti5abet ejaya nenta5bouk raiss dawla si slim,1
je dirai simplement bravo si slim,1
belehi lclubesteya lkol dez jaime 3ala lpage,1
ana dhidik ama ki netfakir ittibsi n7issik ben ki moon,1
awlad mofida machey5in kan homa,1
nchallah tezha layyam,1
extra ordinaire bravoooo,1
kol aaaaam wa antoum bi kheir,1
good joob hahaha,1
rabi itawl 3morha,1
kolch mabroooook al hmdlh 3la slamtk inchallah tetraba fi 3ezkom,1
mena za3ka,1
mmmmmm j aime,1
ohhh fakartni fiha merci,1
bravo si slim enchalah dima haka pour notre tunisie,1
bonne chance boss,1
bravo ya m3além,1
bravo si slim c est bien ça,1
bravo slouma tawika houma maytin mil 9ahra,1
allah i5allass w7alkom,1
inchallah idik mabrouk,1
walahi ya bledi mehma twelet layem,1
mabrouk 3lik si slim w inchalah fima 5ir,1
saha chribetkom,1
rabbi yahefdhek ya abboura,1
best mumy,1
barvo slim ahgarhom,1
inchallah ya3mel haja w izid ikamel chi5awi waw hhhhh,1
oui je pose les memes questons ke mohamed manaa,1
rak m3alem wlh,1
amin incha allah marbou7a,1
yekhi ynajem edokhan yetsabeb fl corona,1
félicitations rabi yhenikom,1
bravo ci slim dima weld cha3b rabi ibereklek,1
big big boss de tout la tunisie,1
yaaaas mama,1
jam3a encha2 allah,1
4 05 hahahahahahah savage keep up,1
dima mnawar wenchalla mana5assroukeche,1
bravo ya maalema talaati wekla galb dhibb,1
aaaaaaaaaamin ya rabbi,1
kol 3am wil ifriki bi 1000 khir,1
allah yarahmou w isaber waldih,1
la mer de quel pays,1
allah yarhmou wi ysabire ahlou bjehe innibi mou7amide,1
azma wetit3ada dima ca,1
bravo a l a 4 des tendances fi dz,1
ni3ma terabeya lirahe ychoufe fiha fa 2019ydir jam,1
bravo ksou7,1
bravo ya moncef,1
borjoliya tniik fi ras zaboura walh,1
bravo slouma continue,1
b9odret rabi demain bech na5tar 8 w rabi m3ah nchala,1
rabi yar7mou inchallah wrabi y5ali kol bou lsghayratou,1
hahaha mahlekom ima wini,1
ahhhhhhhhhh alah yarhmou,1
3aslema jingle,1
kesah bro,1
klèm ma3koul welli mouch 3ajbou yochreb mel bhar,1
rabi ma3ana w nechala marbo7a forza ca,1
hhh 7louwa mennek ethiya d,1
rabi maaha,1
bassem bravo,1
rabi yhmikom,1
ràbi im3àk joumhor ca coul im3àk,1
broo m3lam,1
ichabh il 3imed trabelsi sobhan allah klik web klouk kifou,1
ravi yet9abel,1
happy birthday président,1
best rapper in tunisia,1
tawa si slim tkadem rouhek tawa cha3b lefriqui yentakbekkkkk,1
bravo slim nchallah marbouha,1
look heda wetek brcha,1
salouma lepresdent,1
kol m3ak,1
new clip samara,1
a9wa titre sma3tou,1
m3allemm bsara7a ya3tik saha klay dima jdid braavo,1
mahlek ta rouh kalbi,1
bonne anniversaire m3alem sloma,1
3awen elfou9ara we 3mel macheri3,1
ana enkolek rabi m3ak wm3ana ya slim,1
enchallah 3af 2020 thazzou elbotola,1
hmdl 3la slemtek samy,1
chnia esm lghneya,1
wahra wborjoulya ma tji ken rayess,1
bravo sanfouuur bon continuation,1
hoy hoy,1
siassi 3malha clip,1
8 c bon,1
mabrouk mr slim,1
alef mabroukrabi m3ek,1
fzizo d harry gg haut juin base bien but,1
bravoooo linette,1
hedha berasmi andou mawhba kamal haka yeser hlowin ghneeyetk,1
émission impecable vraiment braaaaaavoooooooooooooo y,1
3linz w 3lik,1
literally amazing gj,1
amin hamdolillah 3la slamtek,1
hédha slim et lékhir slim mouch koll mdawar ka3k,1
choufelna entreneur fi 7ajm c a,1
rabi m3ana w iwafa9na,1
alahe irdi hlike ia weldi,1
rabbi m3ah w m3ana,1
o9telhoum 3erk be3erk ya slouma ya ghali un grand bravo,1
ca kebira bek y slim nchana make,1
rabi yar7mou nchalla,1
w 3ala molana,1
ya rabbi m3ahom,1
mabrouk youssef nchal rabi yhanikom w ya3tikom mattmanew,1
lefri9i ya dawla wslim ya raiiis,1
rabi idoum hayatek li joumhourek,1
rabi ya7mou,1
alllah yare7mou,1
ha jabal may hezzak rih,1
challah rabi yonsrik wikoun maak,1
rab yechfik,1
m3llm le5iyari,1
rode belek bech i rore bike,1
9addakch loooooooooooooooooooooooooooooooooooooooooooool,1
rabi ya3tina mnin 3tak,1
hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh ay ay ay,1
l club dawla,1
hhhhhh m3adabhom,1
hadika tounis ou rabi m3a ezzaweli,1
j ai trop adorée,1
rabbi mhaak,1
rabi i5alik lina si slim enjah fel club barek haha,1
just wooow,1
bravo bon courage slim ena m3ak,1
bravo mon club,1
hatha houwa sehih,1
machallah 3liiik,1
bech ya5demm ibledou,1
bravo sloumaaa 3andk mosta9bl syessi kbir,1
rabi fadalhelek,1
kifek behi 7aka,1
nchallah si slim les rumeurs ili 5arjine ghaltine,1
machla alik,1
raby yeshfiik nshlh o yatik saha,1
rabi ehanaha,1
rabi m3ak ya slim w e5dem 3la rohek elkolna m3al,1
ma tadrbnichhhhhhhhh,1
ala yehdi,1
bravoooo chwi fière de ta confiance dr,1
bonne continuation chapeau bas pr tes efforts slouma d,1
hachtekna w bachtekna ya raiiyes inta raiis we neema kwayes,1
wa7dek ya riahi,1
mech iwaliou m3a b3adhom rabi yoster,1
hhhh bkolha tbatren l sliim elibi mech lil zanatiiir,1
travail trvl trvl,1
tbarkalkah ala khoya klmiik tyara barcha nchallah ysm3ouk w yfhmouk,1
nchallah labes,1
inchala rabi ifadhlek lina,1
3idek mabrouk w snin dayma,1
mahlk 7aloum,1
bravoooooooo m slim,1
a5tar wjouh jdida,1
lesm 3alesm wrabi yjib l9asem,1
bj nchel7 dima el9oudem,1
huyyt soo hot,1
maryouma jamalek raw3a too,1
hhh mil 8naya dhaher 7louw w nchallah ikoun haaka,1
bravo slimna,1
bara ya slouma na7na m3ak,1
nchallah mabrouk 3lina elkol,1
style jenjoon reggae genre kafon mouch hiphop,1
une belle chanson très bien,1
ma7lek ya rabiiiii3,1
temanitek dezued,1
matnarvezech rou7ou bjeh rabi lghoch leee,1
3andi telfza lelbi3 noir blan na3melk soum,1
alah yar7em chouhad2na al abtall wta7ya tounis,1
enchallah twasel haka vraiment twali a3z président chad lebled,1
rabi i5liholek tbrkllh 3lih,1
ya rabi ikamel 3lihom bil5air,1
j adore mouch normaaaaaal,1
a7la saanfour,1
ôk u,1
rabi e3inek,1
tahia taiba lcha9i9a tunis maroc,1
narvo sanfour tooooop,1
si slim ahle eljaoub elkol m3aaaaaaaaaaaaaaaak ya m3allem,1
bravo bravo,1
 we are waiting for you,1
rabi hfdk,1
ana tmanit law 9al bech ndefe3 3ala la femme point,1
future mta3 joueur kbiir kawarji w metkhala9 barcha,1
allh yar7imhoum,1
kol 3am wenti 7ay ibkir wenchalah far7ethom ilko yaking,1
rabiu maki,1
twa7achnak inchallah rabi ya7mik wi traba fi 3izkoum,1
rabi ychfik khouya,1
aaaaaaaaaaaaaah ya m3adhabhom bien slim wasel,1
si slim klaem ma3lmya,1
bonnee annif,1
akwa zouz fi aban ghneya,1
bravo grand patron,1
m2alem rabi m2ak,1
ma3llem hhhh,1
ahwka posi chwya haka chwya haka,1
mala wahra bravoooooooooooooooooooooooo,1
rabi kbir,1
el boss slouma ya m3alem ya 9herhom rabbi m3akkkk,1
moch normal,1
eno wahed,1
ana kayis inheb inkawer fi nedi ifeiki,1
awal moxahada bravo,1
bravo elyes,1
salla allaho 3eleyhi wesellen,1
in shallah marbouha ya doctourna,1
chajra gersouha w klou thamretha belgda belgda zeda,1
vive la ca ya slim ya m3alem,1
samsoum nhebouk,1
inchallah dima zehin,1
big boss sa7a chribtek,1
rabi mehak sloma,1
hhhh tnik fi rass wallah,1
forza ca sekna finaa,1
waw jerusalema,1
bravo slim et bonne continuation,1
9oultt l7a9 c est pas logic 7atta tareff,1
ah ya ben ali kounte oihra ouinek roihelhoum icha3be m3ake,1
bravo ama elmouhem inchallah marboooo7a 2m1,1
enchala labess,1
les algériens rana bzaaf 3labaliiiii,1
mabrouk lel 8alia,1
bravo et felicitation,1
viva cpr,1
inta rajol a3mel,1
très bien bassem ororo,1
habtenna chwayya house 5iir sallouma,1
si slim rabi y5alik ya ma3lem,1
ne7ena me3ak te me3alem,1
rabi m3ak slim nathef,1
0 02 3asslema,1
slim ca ya daoula,1
hhhhhhhhhhh el 3amejy botola hhhhhhhhhh,1
3lina w 3likom en attendant alexis cadeau el3id d,1
allaa yarhamhaa wa yirfour lahaa,1
ana m3a el3adel,1
ma3lem33333333333 mouch fiwijhek walah rabi yzidek elf mabrouk,1
bravo bravo yé sil moncef,1
rabi emaak rabi yesstrak rabi yennsrek,1
m3alem ya si slim ama matansech tv enta3 ca,1
tok3od diiiima im3allam,1
bonne chance rabi m3ek,1
bye bye mariem,1
ejam3ia amena 3andeeeeeeeeeeeeeeek,1
maalem si slim rabi ifadhlik bon courage,1
slouma ya m3alimmmmmmmmmmmmmmmm,1
ma7leha lama zantoriya,1
3lina w3lik slouma,1
mala vibe walah,1
jak chbaba bzzzf machftch vidéo nro7 nchofo 9bel manthawer wa7di,1
ma3ek nas lakoul,1
wa7dék ya si slim,1
awal mra tbkni gisa kima hadi rabi yachfi kol marid,1
taraji ya 3ari9a wk boutoula fi bab swi9a inchalah,1
bonne chance w mabrouk libledna tounis,1
snine dèyma,1
aallah yarhmou,1
allah ma3ak rabbi yoff9ik,1
aaaz abd fil denya wiouuuuu,1
li m3liiiiiiiiiiiiiiiim yitklimmmmmmmmmmm,1
ali bouali mwahher,1
tnikkkkkkk ferrrrrassssssss gj,1
9wi el message,1
allah ybarek ali men tunisi,1
rabi m3ak w na7na lkoyl m3ak,1
alihamdou l illeh raby maak,1
jaime caaa,1
enti kn te3 nik mch te3 wahed bch itha7kek,1
kol 3am wenta 7ay b5ir,1
3assoula dima,1
club akber men ay joueur mahma ken esmou,1
mabrouk eltounes,1
yesser zaboura,1
rabi yechfik wladna bi hawelelah bech yahdiyolek lintisar,1
bonne assida si,1
a7la slimm,1
rabbi ysouno mr slim w ykallik lilo,1
nn 3ad chiboub m3aaalém 3lih barcha,1
nchallah rabi m3ana bravo big boss,1
b1 dit ya slim,1
bleedi w in jarette 3alaya,1
menzel bourguiba lmadina,1
kol 3am wenta 7ay balf 5ir,1
akahaw rabi issaberna,1
top le make up rayou ma7lek,1
kol 3am wenti b1000 khir brabi ejem3iya emene fi rakebtekkk,1
tounes fi haja el ensen yehkdemha bsedqç,1
j adore ce style,1
alllah yarhamo,1
allah yar7mou wlkolna liha hathi machi2et allah,1
slim watek el rose yasser hlou 3lik,1
m3alem jdid de tunisie,1
thi9ti fil cpr,1
kol 3am winti hay balef 5iiir,1
waaaaaaaaaw yam3alem,1
allahomma nasaalouka el afow wal afiya,1
1000000 respect,1
bravoooooooooooooooooooo si slim bonne geste,1
w9ayet ca tv,1
rabi ykather minek ennes si slim,1
el capoo je respect beaucoup m marzougi,1
enchallah omera makboula emin,1
ok3od hani ki3tak ilwakt,1
telhè bi ca w sayib alik mil lo5rin,1
rabiii m3ana nchallahh,1
najahhh nchallah dayman,1
bravo lawled wlh hhh toooop,1
elkatiba aime ça,1
slouma ya m3allem d,1
ena 9arwia w m3a slim riahia,1
li yhesha ghneyet virage yhot jaime,1
jaime awled jam3ia,1
rabi i5allik lina ya m3allem,1
hloaaaaaaaaaaaa el montage raw33333a,1
hhhhh malek yeser tfata9,1
tunes berjelha ta7ya tunes,1
9loubna m3ak si slim,1
rabi i3inou,1
bonn chance,1
bon annif ca,1
bravo jamel ouertani,1
mnassri seif,1
slouma ya patro,1
tounis jébit rajil hamdoullah,1
rajel walah,1
mabrouk rabi yhanikoum,1
chriba bi touzgar,1
j'adore bassam,1
echa3b yorid enhtha men jadid,1
safi saied u meillem,1
bravooooooo et surtout mezwed pas normal,1
wooooow magnifique,1
kol 3am wenti bsaha w 3afia,1
brabi fahmouna fi wath3iet djabou ou 3lech moch yal3eb,1
allah yahmik men char elhasid abou rayen hamzaoui,1
rabi m3ak ya m3alim,1
rabi em3k slim,1
3ssal khaw la bravo,1
m3allim d,1
rana mak,1
machallh 3la o5tii mwetytek el omoma machllh,1
ta7ki m3a ra2iss joumhouria,1
ye 8oul,1
aidek moubarak,1
inchallah il boutoula fi beb jdid,1
rabi ihanikom,1
bravoo slim,1
inchalla amiiiine ya rab,1
j aime partager 11104 il y a 2 heures,1
erajil rajil kithib 3lik bravo,1
kol 3am w enti b 1000 khir mr slim,1
rabbi m3ak ya boss joumhour il ghalya m3ak ya m3allam,1
ifri9i howa 3inaya dara7na,1
7amla enti5abia 9wia barcha,1
rabi m3ak slim riahi bech tetsada lihom,1
alah yar7mou mon presedent rester fort,1
tres bein,1
bravo slim ahna mak,1
alaaaaah yar7mou,1
allah yarhamha inchallah men ahel janna,1
bravoo janjooon,1
ya rohiiii 9adekch assssoula,1
allah yer7amehom,1
inchallah aidek mabrouk wa snin deyma,1
alah yarhem chouhade2na,1
sloma ya em3alim,1
berras ommek kamal echri tounes el kol wnadhafeha 7aba 7aba,1
ayem wena nestana maalem,1
sb7 il 5ir ya mlaya3houm,1
ma7lak bb,1
virage rap respect,1
bonne continuation syrine,1
titre zabour ama chemistry tayha binetkom ya ala,1
bien bien,1
allah yerhmou we saber ayeltou,1
l outro ebde3,1
un ange,1
lotf ya rabbi allah yéchfih,1
abay abay abay aaaaaaahhhhhhhhhhhhhhhhhhhhaaaaaaa,1
salem koul 3am waloma alislamiya b5ir 3idkom mabrouk,1
ahsen 9arar professionnel hedi w rzin min ghir tahrij wmsata,1
inchallah aïdik mabrouk,1
sanfara khouya rabi khalik thiy min dz poooom,1
aied moubarek w snin dayma,1
bravo marzougui ahna maaaaaaaaaaaaaaaak,1
a9wa paroles 2020,1
bjr rabbi ya7mi lebled mazel 3andna rjel fi tunis,1
brao mahleehaaa l8nyaa,1
j adooooooooore,1
bien ria7i les clubiste come dab m3ak dima,1
en ciel abonne trje3lek belw9t ye zin,1
inchallah dima reb7a,1
rabi yansrik 3ale a3ade2ek,1
a l a a7la ta7iya men dzayer w n7eebek barcha,1
kol 3am wanti kbira ya 8alya,1
chapeau boss,1
mille mille mabrouuk toktlou,1
président nchalah,1
allah yarhamou,1
king yassine,1
bro ya sanfour ya m3alem,1
bravo slim allah yar7mou,1
charaf liya,1
hh hamdoullah,1
bj si slim rak hazitylna l moural ness el ca,1
bien dit slouma w nchalah rabi m3ak forza ca,1
azha mezha men 8adi,1
chfamma jdide,1
bravo slim jebhoulna 7atta b 10 millions euros,1
