sentence,label,length,word_list
hhhhhh ysa5ef,0,2,"['hhhhhh', 'ysa5ef']"
ta3ti fi des solutions litachghil wénti 7anout 7ammas ma7allitouch,0,9,"['ta3ti', 'fi', 'des', 'solutions', 'litachghil', 'wénti', '7anout', '7ammas', 'ma7allitouch']"
thowa milkerwen ech mhezza lsfax,0,5,"['thowa', 'milkerwen', 'ech', 'mhezza', 'lsfax']"
9ahba haifa bouli,0,3,"['9ahba', 'haifa', 'bouli']"
iji kol chay ken raiis,0,5,"['iji', 'kol', 'chay', 'ken', 'raiis']"
on attend ton retour avec impatience,1,6,"['on', 'attend', 'ton', 'retour', 'avec', 'impatience']"
mafhemtesh shemdakhlou gati,0,3,"['mafhemtesh', 'shemdakhlou', 'gati']"
5ir mte3ik y slouma ta7 fih eki ji3en,0,8,"['5ir', 'mte3ik', 'y', 'slouma', 'ta7', 'fih', 'eki', 'ji3en']"
copie colle,0,2,"['copie', 'colle']"
3ib 3lik w rabi m9alech hak,0,6,"['3ib', '3lik', 'w', 'rabi', 'm9alech', 'hak']"
ok mrigl,1,2,"['ok', 'mrigl']"
kol am wal alifriki bi kayr,1,6,"['kol', 'am', 'wal', 'alifriki', 'bi', 'kayr']"
m3allem d,1,2,"['m3allem', 'd']"
bara nayek belehi,0,3,"['bara', 'nayek', 'belehi']"
be7yett rasss fawzi,1,3,"['be7yett', 'rasss', 'fawzi']"
tafi kazi ya slouma,0,4,"['tafi', 'kazi', 'ya', 'slouma']"
louled j aime fi 5ater jam3ia,1,6,"['louled', 'j', 'aime', 'fi', '5ater', 'jam3ia']"
lobiyet tthakim,0,2,"['lobiyet', 'tthakim']"
m3alam sloumma wallah chay kbir,1,5,"['m3alam', 'sloumma', 'wallah', 'chay', 'kbir']"
allah yara7mou zgaw,1,3,"['allah', 'yara7mou', 'zgaw']"
ykeb sa3do akl mo5rej,0,4,"['ykeb', 'sa3do', 'akl', 'mo5rej']"
mla go3ra t7ayar fsmha bjbden baya mla masta,0,8,"['mla', 'go3ra', 't7ayar', 'fsmha', 'bjbden', 'baya', 'mla', 'masta']"
boss rabbi m3ak,1,3,"['boss', 'rabbi', 'm3ak']"
inchallah nerb7ou ya rabi ca,1,5,"['inchallah', 'nerb7ou', 'ya', 'rabi', 'ca']"
ibrabi matich ca loum,0,4,"['ibrabi', 'matich', 'ca', 'loum']"
ma3adech itaya7 kadrek ou ta7ki im3a ilmafr5a,0,7,"['ma3adech', 'itaya7', 'kadrek', 'ou', 'ta7ki', 'im3a', 'ilmafr5a']"
djabou wa7dou yarba7oum ca,1,4,"['djabou', 'wa7dou', 'yarba7oum', 'ca']"
allah yahfedkom wyehmokom yarab,1,4,"['allah', 'yahfedkom', 'wyehmokom', 'yarab']"
mohoch zingo,0,2,"['mohoch', 'zingo']"
bravo slim lm3alem ejib lm3alem viv ca,1,7,"['bravo', 'slim', 'lm3alem', 'ejib', 'lm3alem', 'viv', 'ca']"
super star ala,1,3,"['super', 'star', 'ala']"
mala enjezz ta3mlouuuu fiih bech matetraj3ouch w matestaslmouch hahaha,0,9,"['mala', 'enjezz', 'ta3mlouuuu', 'fiih', 'bech', 'matetraj3ouch', 'w', 'matestaslmouch', 'hahaha']"
mela test5aybou medeb y m3aleeeeem,0,5,"['mela', 'test5aybou', 'medeb', 'y', 'm3aleeeeem']"
tarek bravo,1,2,"['tarek', 'bravo']"
slim riahi presidente della tunisia wjawna a7la jaw,1,8,"['slim', 'riahi', 'presidente', 'della', 'tunisia', 'wjawna', 'a7la', 'jaw']"
super saadi officiel keep up the great work,1,8,"['super', 'saadi', 'officiel', 'keep', 'up', 'the', 'great', 'work']"
rabi em3eh,1,2,"['rabi', 'em3eh']"
ok ya,1,2,"['ok', 'ya']"
barra 3la rou7ik wisalim 3lik el3a9il,1,6,"['barra', '3la', 'rou7ik', 'wisalim', '3lik', 'el3a9il']"
al 9itar yasir walkilab tanba7,1,5,"['al', '9itar', 'yasir', 'walkilab', 'tanba7']"
krouchhom dezza bech m3ebinhom,0,4,"['krouchhom', 'dezza', 'bech', 'm3ebinhom']"
alah yar7mou ina lellehi wa ina ilayhi raji3oun,1,8,"['alah', 'yar7mou', 'ina', 'lellehi', 'wa', 'ina', 'ilayhi', 'raji3oun']"
nice bro 3alekher,1,3,"['nice', 'bro', '3alekher']"
slouma kamél e5dem 3la ro7ek bonne continuation,1,7,"['slouma', 'kamél', 'e5dem', '3la', 'ro7ek', 'bonne', 'continuation']"
inchallah ytraba fi 3ez omou wbouh ya 3ssssel,1,8,"['inchallah', 'ytraba', 'fi', '3ez', 'omou', 'wbouh', 'ya', '3ssssel']"
slouma rabbi i5allik,1,3,"['slouma', 'rabbi', 'i5allik']"
sbe7 elnour,1,2,"['sbe7', 'elnour']"
kafon like balti commentier,1,4,"['kafon', 'like', 'balti', 'commentier']"
3ana fik ithika winchala l3akba liriassia,1,6,"['3ana', 'fik', 'ithika', 'winchala', 'l3akba', 'liriassia']"
w7dek ya slouma rak m3lem wlh t7ya ca,1,8,"['w7dek', 'ya', 'slouma', 'rak', 'm3lem', 'wlh', 't7ya', 'ca']"
slouma ya m3alèèm,1,3,"['slouma', 'ya', 'm3alèèm']"
chay yameeel el 3ar,0,4,"['chay', 'yameeel', 'el', '3ar']"
rabi yahmi tunis,1,3,"['rabi', 'yahmi', 'tunis']"
maaaaaaan hhhhhhhhhhhhhhh,1,2,"['maaaaaaan', 'hhhhhhhhhhhhhhh']"
7ata ana jebt 15 50 fi lbac,1,7,"['7ata', 'ana', 'jebt', '15', '50', 'fi', 'lbac']"
heblou ednadik moch beyergdou elila hhhhhhhhhhhhhhhhhhhhhh,0,6,"['heblou', 'ednadik', 'moch', 'beyergdou', 'elila', 'hhhhhhhhhhhhhhhhhhhhhh']"
lissm 3al issm wrabi yjib ilkasm,1,6,"['lissm', '3al', 'issm', 'wrabi', 'yjib', 'ilkasm']"
flous lgadafi yektheb biha 3acha3b,0,5,"['flous', 'lgadafi', 'yektheb', 'biha', '3acha3b']"
inchalla kol ham w inta b,1,6,"['inchalla', 'kol', 'ham', 'w', 'inta', 'b']"
eli yakrah ha lmesmema ya3mel abonner,0,6,"['eli', 'yakrah', 'ha', 'lmesmema', 'ya3mel', 'abonner']"
tooop toop,1,2,"['tooop', 'toop']"
3lehh mann7ebouch njarbou elli 3anndou leflouss,0,6,"['3lehh', 'mann7ebouch', 'njarbou', 'elli', '3anndou', 'leflouss']"
3lina w 3lik capo,1,4,"['3lina', 'w', '3lik', 'capo']"
alah a7ad alah wa7ada sidna slim makifna 7ad,1,8,"['alah', 'a7ad', 'alah', 'wa7ada', 'sidna', 'slim', 'makifna', '7ad']"
allah tar7mou,1,2,"['allah', 'tar7mou']"
rabi m3ana ya doktor,1,4,"['rabi', 'm3ana', 'ya', 'doktor']"
bravo 5edma mezyena barcha,1,4,"['bravo', '5edma', 'mezyena', 'barcha']"
vive slim rabi ima3k khouya,1,5,"['vive', 'slim', 'rabi', 'ima3k', 'khouya']"
ech 3malna baha l7orria,0,4,"['ech', '3malna', 'baha', 'l7orria']"
bal3ouuut kbir,0,2,"['bal3ouuut', 'kbir']"
beras omk 9olha mat9ol le7ad,1,5,"['beras', 'omk', '9olha', 'mat9ol', 'le7ad']"
barra ysaffar wejhek ya marzouki,1,5,"['barra', 'ysaffar', 'wejhek', 'ya', 'marzouki']"
bravo ya3tik esa7a 5edma tayara,1,5,"['bravo', 'ya3tik', 'esa7a', '5edma', 'tayara']"
mak ta7aan,0,2,"['mak', 'ta7aan']"
tbarkallah 3lik kifech chla9t beha,1,5,"['tbarkallah', '3lik', 'kifech', 'chla9t', 'beha']"
sinin dayma wkol 3am winti hay b5irrrrrrrrrrrrrrrrrrrrrrr notre presedant,1,9,"['sinin', 'dayma', 'wkol', '3am', 'winti', 'hay', 'b5irrrrrrrrrrrrrrrrrrrrrrr', 'notre', 'presedant']"
44k dislike hhh,0,3,"['44k', 'dislike', 'hhh']"
belehi jme3et tarachi dégage mel page lankamlou nafdh7oukom hhhhhhhhhhhhhhhhhhhhh,0,9,"['belehi', 'jme3et', 'tarachi', 'dégage', 'mel', 'page', 'lankamlou', 'nafdh7oukom', 'hhhhhhhhhhhhhhhhhhhhh']"
clubiste 4 ever,1,3,"['clubiste', '4', 'ever']"
idafitou fi gharbi ya slim hh,0,6,"['idafitou', 'fi', 'gharbi', 'ya', 'slim', 'hh']"
l ca 3akliya zeyed lekbir kbir,1,6,"['l', 'ca', '3akliya', 'zeyed', 'lekbir', 'kbir']"
7achamtna wallah g regrette elli sawatlik,0,6,"['7achamtna', 'wallah', 'g', 'regrette', 'elli', 'sawatlik']"
c vraiment nul,0,3,"['c', 'vraiment', 'nul']"
wallah chbeba 3alli5r bravo klay,1,5,"['wallah', 'chbeba', '3alli5r', 'bravo', 'klay']"
lebes lebes,1,2,"['lebes', 'lebes']"
sllouma ya ghalli ya patron,1,5,"['sllouma', 'ya', 'ghalli', 'ya', 'patron']"
mela mafiya hal bled 9alou nahdha,0,6,"['mela', 'mafiya', 'hal', 'bled', '9alou', 'nahdha']"
tal3 rajel ki bouh sob7an allh,1,6,"['tal3', 'rajel', 'ki', 'bouh', 'sob7an', 'allh']"
politique elli ta3mel fih nadda rahou,0,6,"['politique', 'elli', 'ta3mel', 'fih', 'nadda', 'rahou']"
m3ek rabbi ya si slim,1,5,"['m3ek', 'rabbi', 'ya', 'si', 'slim']"
genjoon ya 5ali kamel fi gew hethe,1,7,"['genjoon', 'ya', '5ali', 'kamel', 'fi', 'gew', 'hethe']"
5ali i9oulou ach ihem,1,4,"['5ali', 'i9oulou', 'ach', 'ihem']"
el mnayek robocop hhhhh,0,4,"['el', 'mnayek', 'robocop', 'hhhhh']"
mch lezem tebki bch tssadkha dhaharli,0,6,"['mch', 'lezem', 'tebki', 'bch', 'tssadkha', 'dhaharli']"
zink wala 7asdenik,0,3,"['zink', 'wala', '7asdenik']"
allah yar7mek ya las3ad,1,4,"['allah', 'yar7mek', 'ya', 'las3ad']"
votez slim riahi n 8,1,5,"['votez', 'slim', 'riahi', 'n', '8']"
a7la patron,1,2,"['a7la', 'patron']"
ahh kifech,1,2,"['ahh', 'kifech']"
to9tol machallah,1,2,"['to9tol', 'machallah']"
darbett m3allem,1,2,"['darbett', 'm3allem']"
brabi ab3athhom 3béd jehla,0,4,"['brabi', 'ab3athhom', '3béd', 'jehla']"
allah ykoun fi 3ounek ya slayem il ghali,1,8,"['allah', 'ykoun', 'fi', '3ounek', 'ya', 'slayem', 'il', 'ghali']"
nik 12558456985569853658 min omik ya ta7an jbèli,0,7,"['nik', '12558456985569853658', 'min', 'omik', 'ya', 'ta7an', 'jbèli']"
mabroukk 3linaaaaa,1,2,"['mabroukk', '3linaaaaa']"
ness bila akhla9 si slim wel3iyathou belleh,0,7,"['ness', 'bila', 'akhla9', 'si', 'slim', 'wel3iyathou', 'belleh']"
bravo bravo yarhem waldik,1,4,"['bravo', 'bravo', 'yarhem', 'waldik']"
wa7d kaleb e7eb 3la madher,0,5,"['wa7d', 'kaleb', 'e7eb', '3la', 'madher']"
sere9 wkaleb wmayji 7ata chay,0,5,"['sere9', 'wkaleb', 'wmayji', '7ata', 'chay']"
ta7ki m3a ra2iss joumhouria,1,4,"['ta7ki', 'm3a', 'ra2iss', 'joumhouria']"
brazvo ya si slim wasel,1,5,"['brazvo', 'ya', 'si', 'slim', 'wasel']"
tlkolm kleb wa4bye tbi3o lkrd wtadhko 3la cherih,0,8,"['tlkolm', 'kleb', 'wa4bye', 'tbi3o', 'lkrd', 'wtadhko', '3la', 'cherih']"
b3d l etoil fma 7ad y m3alem bara thebt,1,9,"['b3d', 'l', 'etoil', 'fma', '7ad', 'y', 'm3alem', 'bara', 'thebt']"
she is good,1,3,"['she', 'is', 'good']"
5ir men max,0,3,"['5ir', 'men', 'max']"
mdrrr 5alini sektta ty enti awel wa7da 3wartelha,0,8,"['mdrrr', '5alini', 'sektta', 'ty', 'enti', 'awel', 'wa7da', '3wartelha']"
ina lilleh wa ina ilayhi raji3oun,1,6,"['ina', 'lilleh', 'wa', 'ina', 'ilayhi', 'raji3oun']"
amaltou ellaaaaaaaar,0,2,"['amaltou', 'ellaaaaaaaar']"
visiter notre site officiel et gagner,1,6,"['visiter', 'notre', 'site', 'officiel', 'et', 'gagner']"
top rojla wled omy,1,4,"['top', 'rojla', 'wled', 'omy']"
la loi de la jungle,0,5,"['la', 'loi', 'de', 'la', 'jungle']"
chbi rabha ha lfou9ma,0,4,"['chbi', 'rabha', 'ha', 'lfou9ma']"
inchallah marbou7a cpr,1,3,"['inchallah', 'marbou7a', 'cpr']"
inchallah bettaoufik,1,2,"['inchallah', 'bettaoufik']"
nawfel roujou3 bikoua,1,3,"['nawfel', 'roujou3', 'bikoua']"
enchelah rabi yesterne,1,3,"['enchelah', 'rabi', 'yesterne']"
a9wa 8neya tounsia top 3,1,5,"['a9wa', '8neya', 'tounsia', 'top', '3']"
mabrook 3lik 7biba,1,3,"['mabrook', '3lik', '7biba']"
slim bch tab9 w al 9alobhom,0,6,"['slim', 'bch', 'tab9', 'w', 'al', '9alobhom']"
bravo walah yestehel hedi z3yem,1,5,"['bravo', 'walah', 'yestehel', 'hedi', 'z3yem']"
hh ui,1,2,"['hh', 'ui']"
nharék zin si slim,1,4,"['nharék', 'zin', 'si', 'slim']"
lkolna m3ak mr slim,1,4,"['lkolna', 'm3ak', 'mr', 'slim']"
wa7dek a slouma,1,3,"['wa7dek', 'a', 'slouma']"
avanti ya louled w m3ana l 3ali,1,7,"['avanti', 'ya', 'louled', 'w', 'm3ana', 'l', '3ali']"
mabrouk li ca,1,3,"['mabrouk', 'li', 'ca']"
bheyem kif riahi,0,3,"['bheyem', 'kif', 'riahi']"
hadika tounis ou rabi m3a ezzaweli,1,6,"['hadika', 'tounis', 'ou', 'rabi', 'm3a', 'ezzaweli']"
inchalla ya rabbi,1,3,"['inchalla', 'ya', 'rabbi']"
ghriba chbih majech el benzaret,0,5,"['ghriba', 'chbih', 'majech', 'el', 'benzaret']"
congratulation for tunisia,1,3,"['congratulation', 'for', 'tunisia']"
malek mhadhbi barcha si lina hhhhhhhhhhhhhhhhhhhhhhhhhhh,0,6,"['malek', 'mhadhbi', 'barcha', 'si', 'lina', 'hhhhhhhhhhhhhhhhhhhhhhhhhhh']"
rabi ogabes m3ak ia8ali,1,4,"['rabi', 'ogabes', 'm3ak', 'ia8ali']"
dayouth monefe9 w katheb w 9aleb,0,6,"['dayouth', 'monefe9', 'w', 'katheb', 'w', '9aleb']"
ca hiya il kol,1,4,"['ca', 'hiya', 'il', 'kol']"
allah la yafthahna yaltif,0,4,"['allah', 'la', 'yafthahna', 'yaltif']"
rajel m3abi madiyen ou siesien,1,5,"['rajel', 'm3abi', 'madiyen', 'ou', 'siesien']"
trés decu de marzouki,0,4,"['trés', 'decu', 'de', 'marzouki']"
ak mnyk a lotfi,0,4,"['ak', 'mnyk', 'a', 'lotfi']"
7ram 3liik bnayya metet fi jortak,0,6,"['7ram', '3liik', 'bnayya', 'metet', 'fi', 'jortak']"
slouma zidna 7wija okra 3assakhna,1,5,"['slouma', 'zidna', '7wija', 'okra', '3assakhna']"
lamahala bahi 8onnya kamel ya sahbi,1,6,"['lamahala', 'bahi', '8onnya', 'kamel', 'ya', 'sahbi']"
alf mabrouk yatraba f 3azak,1,5,"['alf', 'mabrouk', 'yatraba', 'f', '3azak']"
namlou deux,1,2,"['namlou', 'deux']"
haw 7obek,1,2,"['haw', '7obek']"
ensan khamej,0,2,"['ensan', 'khamej']"
kol 3am winti b5er si slim ama 9adach 3omrik,1,9,"['kol', '3am', 'winti', 'b5er', 'si', 'slim', 'ama', '9adach', '3omrik']"
likbiir yab9a kbiiir ye rou7i w vive ca,1,8,"['likbiir', 'yab9a', 'kbiiir', 'ye', 'rou7i', 'w', 'vive', 'ca']"
jadore sanfour,1,2,"['jadore', 'sanfour']"
inchala ekon mabrouk 3lina w 7akak a7lam echa3ab,1,8,"['inchala', 'ekon', 'mabrouk', '3lina', 'w', '7akak', 'a7lam', 'echa3ab']"
ah ya 3zouza garnabou,0,4,"['ah', 'ya', '3zouza', 'garnabou']"
mahdia la magnifique,1,3,"['mahdia', 'la', 'magnifique']"
sloma ya m3adbhom,1,3,"['sloma', 'ya', 'm3adbhom']"
excellents paroles,1,2,"['excellents', 'paroles']"
bravoooooooo slouma,1,2,"['bravoooooooo', 'slouma']"
ekolkom itajrou bihom itakou alah bakiaaaaaaaaaa,0,6,"['ekolkom', 'itajrou', 'bihom', 'itakou', 'alah', 'bakiaaaaaaaaaa']"
mercato essiff mta3 el baar lamen hhhhhhh,0,7,"['mercato', 'essiff', 'mta3', 'el', 'baar', 'lamen', 'hhhhhhh']"
cha3b m3ak slouma vive ca,1,5,"['cha3b', 'm3ak', 'slouma', 'vive', 'ca']"
apparemment te7ki 3ala rou7ha psk hiya masdar fased,0,8,"['apparemment', 'te7ki', '3ala', 'rou7ha', 'psk', 'hiya', 'masdar', 'fased']"
haja r3aad,1,2,"['haja', 'r3aad']"
kol 3am wenti 7ay balif 5ir,1,6,"['kol', '3am', 'wenti', '7ay', 'balif', '5ir']"
bjeh rabi tga3ed,0,3,"['bjeh', 'rabi', 'tga3ed']"
haya ki tahki 3la rouhek haja behya hhh,1,8,"['haya', 'ki', 'tahki', '3la', 'rouhek', 'haja', 'behya', 'hhh']"
yes yes yes,1,3,"['yes', 'yes', 'yes']"
i respect you bro from morocco,1,6,"['i', 'respect', 'you', 'bro', 'from', 'morocco']"
nhizo chapionat hadika lfayda patron,1,5,"['nhizo', 'chapionat', 'hadika', 'lfayda', 'patron']"
chakara allaho sa3yakom,1,3,"['chakara', 'allaho', 'sa3yakom']"
ama begadech cheretou elkas men eltihade,0,6,"['ama', 'begadech', 'cheretou', 'elkas', 'men', 'eltihade']"
cheh hhhhhhhh bravo miss,1,4,"['cheh', 'hhhhhhhh', 'bravo', 'miss']"
style il linko hidhia,0,4,"['style', 'il', 'linko', 'hidhia']"
nchallh dima naj7 brø,1,4,"['nchallh', 'dima', 'naj7', 'brø']"
to7t f barmil zit rabi yosterna,0,6,"['to7t', 'f', 'barmil', 'zit', 'rabi', 'yosterna']"
bikolkom talakit sarf,1,3,"['bikolkom', 'talakit', 'sarf']"
upl n y est plus,0,5,"['upl', 'n', 'y', 'est', 'plus']"
toua slim izalga fallga roud belek teserna,1,7,"['toua', 'slim', 'izalga', 'fallga', 'roud', 'belek', 'teserna']"
rabi meak haw rejal tunis mech eli machaw maroc,1,9,"['rabi', 'meak', 'haw', 'rejal', 'tunis', 'mech', 'eli', 'machaw', 'maroc']"
sayb 3lin isyassa rak behi hak,0,6,"['sayb', '3lin', 'isyassa', 'rak', 'behi', 'hak']"
ahna emaak vasi,1,3,"['ahna', 'emaak', 'vasi']"
rabbi m3ak willkolna m3ak,1,4,"['rabbi', 'm3ak', 'willkolna', 'm3ak']"
etajamo3 non monsofmarzou9i,0,3,"['etajamo3', 'non', 'monsofmarzou9i']"
rabi yansrak,1,2,"['rabi', 'yansrak']"
tahiya mina almaghrib,1,3,"['tahiya', 'mina', 'almaghrib']"
amin ya rab el3lamin,1,4,"['amin', 'ya', 'rab', 'el3lamin']"
3lina ou3lik,1,2,"['3lina', 'ou3lik']"
viva forza ca w a7la sbe7 il 3arfi,1,8,"['viva', 'forza', 'ca', 'w', 'a7la', 'sbe7', 'il', '3arfi']"
t avais raison,1,3,"['t', 'avais', 'raison']"
hal da3chouch ken sabbeb wala thawarji,0,6,"['hal', 'da3chouch', 'ken', 'sabbeb', 'wala', 'thawarji']"
tozfik wefifrance allahyarhamallmosslimin,0,3,"['tozfik', 'wefifrance', 'allahyarhamallmosslimin']"
rabi imhak ya si slim,1,5,"['rabi', 'imhak', 'ya', 'si', 'slim']"
dima elmouadhef illi ykhalless,0,4,"['dima', 'elmouadhef', 'illi', 'ykhalless']"
thanks slim riahi,1,3,"['thanks', 'slim', 'riahi']"
bonn anniv,1,2,"['bonn', 'anniv']"
3aychak allah yaster le3bed li kifak oustar tounes,1,8,"['3aychak', 'allah', 'yaster', 'le3bed', 'li', 'kifak', 'oustar', 'tounes']"
slema ya maallam,1,3,"['slema', 'ya', 'maallam']"
king zatla,0,2,"['king', 'zatla']"
haja tfarah,1,2,"['haja', 'tfarah']"
barcha ya5i equipe nationale,1,4,"['barcha', 'ya5i', 'equipe', 'nationale']"
bonne contuniation wrabbi yba9i nesseter,1,5,"['bonne', 'contuniation', 'wrabbi', 'yba9i', 'nesseter']"
slim watek el rose yasser hlou 3lik,1,7,"['slim', 'watek', 'el', 'rose', 'yasser', 'hlou', '3lik']"
farda wl9at o5teha,0,3,"['farda', 'wl9at', 'o5teha']"
allah i9awikem ouyonsorkon 3all erheb edawe3ech lekleb,0,7,"['allah', 'i9awikem', 'ouyonsorkon', '3all', 'erheb', 'edawe3ech', 'lekleb']"
css baich idezou fikom hhhhhhhhhhh,0,5,"['css', 'baich', 'idezou', 'fikom', 'hhhhhhhhhhh']"
rabi yerahmou,1,2,"['rabi', 'yerahmou']"
rabi ya3tik 3la 9id 9albak ya slouma,1,7,"['rabi', 'ya3tik', '3la', '9id', '9albak', 'ya', 'slouma']"
rana il kol m3aka ya slim,1,6,"['rana', 'il', 'kol', 'm3aka', 'ya', 'slim']"
masekh makch rajel,0,3,"['masekh', 'makch', 'rajel']"
rabi yar7emhom,1,2,"['rabi', 'yar7emhom']"
bravooooo heka ca dima en7bouha,1,5,"['bravooooo', 'heka', 'ca', 'dima', 'en7bouha']"
win y93ed hal mnayk,0,4,"['win', 'y93ed', 'hal', 'mnayk']"
alah la ybareklek ya nayek,0,5,"['alah', 'la', 'ybareklek', 'ya', 'nayek']"
va te faire voir minable,0,5,"['va', 'te', 'faire', 'voir', 'minable']"
hadoumka mourda rabi yehdi ma5la9,0,5,"['hadoumka', 'mourda', 'rabi', 'yehdi', 'ma5la9']"
daily dose of drama la tunisie,0,6,"['daily', 'dose', 'of', 'drama', 'la', 'tunisie']"
wahra ca dawla,1,3,"['wahra', 'ca', 'dawla']"
taw mhabitha,0,2,"['taw', 'mhabitha']"
alexxxxxxxxxxxxx ya si slim a9kwa puvot fel 3além,1,8,"['alexxxxxxxxxxxxx', 'ya', 'si', 'slim', 'a9kwa', 'puvot', 'fel', '3além']"
slimani ya gera7 ya m3adhebhom,1,5,"['slimani', 'ya', 'gera7', 'ya', 'm3adhebhom']"
tasr9ou f a l a za3ma kbir,0,7,"['tasr9ou', 'f', 'a', 'l', 'a', 'za3ma', 'kbir']"
a7na 7achetna biiiik enti mouuuch beflousik ya solouma,1,8,"['a7na', '7achetna', 'biiiik', 'enti', 'mouuuch', 'beflousik', 'ya', 'solouma']"
slim chra hamdi ilmadab hasb mozaik,1,6,"['slim', 'chra', 'hamdi', 'ilmadab', 'hasb', 'mozaik']"
kalbe ramaje falfal,0,3,"['kalbe', 'ramaje', 'falfal']"
eelko zie ba3dkom,0,3,"['eelko', 'zie', 'ba3dkom']"
bravo bravo bravooooo,1,3,"['bravo', 'bravo', 'bravooooo']"
big up jenn dima lgodem bro,1,6,"['big', 'up', 'jenn', 'dima', 'lgodem', 'bro']"
hadhy akherteha,0,2,"['hadhy', 'akherteha']"
hh mela doctour,1,3,"['hh', 'mela', 'doctour']"
h ta7ki barcha m3a lawled,1,5,"['h', 'ta7ki', 'barcha', 'm3a', 'lawled']"
bravo koaoula nes el kol m3ak,1,6,"['bravo', 'koaoula', 'nes', 'el', 'kol', 'm3ak']"
brabbi brabbi brabbi rahou lwé7id 3la 3sabou 3ajjam3ia,0,8,"['brabbi', 'brabbi', 'brabbi', 'rahou', 'lwé7id', '3la', '3sabou', '3ajjam3ia']"
ertahna men waldih hal parnamej,0,5,"['ertahna', 'men', 'waldih', 'hal', 'parnamej']"
queen qma,1,2,"['queen', 'qma']"
yaatik sahaa w raby yfarhek,1,5,"['yaatik', 'sahaa', 'w', 'raby', 'yfarhek']"
ok hani jay taw hhhhhhhhh,1,5,"['ok', 'hani', 'jay', 'taw', 'hhhhhhhhh']"
nchal ykamel hanchi nt3e sfa9s,1,5,"['nchal', 'ykamel', 'hanchi', 'nt3e', 'sfa9s']"
tfffffooooooo 9ala fransa b9alna ken nab9o inla7sou l fransa,0,9,"['tfffffooooooo', '9ala', 'fransa', 'b9alna', 'ken', 'nab9o', 'inla7sou', 'l', 'fransa']"
cheb bachir bravooooo mazbalthom hal lemmarek,1,6,"['cheb', 'bachir', 'bravooooo', 'mazbalthom', 'hal', 'lemmarek']"
rabbi yar7amou w yej3el mathwah el jannah,1,7,"['rabbi', 'yar7amou', 'w', 'yej3el', 'mathwah', 'el', 'jannah']"
ma5yeeb fomk wallah tgul ettouffa,0,5,"['ma5yeeb', 'fomk', 'wallah', 'tgul', 'ettouffa']"
hhhhhhhhhh malla sel3a rye7i,1,4,"['hhhhhhhhhh', 'malla', 'sel3a', 'rye7i']"
mazel 3ayech hal mandher,0,4,"['mazel', '3ayech', 'hal', 'mandher']"
bravo kel3ada boss,1,3,"['bravo', 'kel3ada', 'boss']"
belehi na3mlo rwehna masme3nahomch,1,4,"['belehi', 'na3mlo', 'rwehna', 'masme3nahomch']"
tawa bil keratine,0,3,"['tawa', 'bil', 'keratine']"
mortadhaaaaaaaaaaa bravoooooooooo,1,2,"['mortadhaaaaaaaaaaa', 'bravoooooooooo']"
bravo slouma dima mawe9ef rjoulia w fi wa9tha bravo,1,9,"['bravo', 'slouma', 'dima', 'mawe9ef', 'rjoulia', 'w', 'fi', 'wa9tha', 'bravo']"
nounou w aymoun,0,3,"['nounou', 'w', 'aymoun']"
bien slouma ya 8ali,1,4,"['bien', 'slouma', 'ya', '8ali']"
rabi m3ak w a7na zada ya m3alem ya slouma,1,9,"['rabi', 'm3ak', 'w', 'a7na', 'zada', 'ya', 'm3alem', 'ya', 'slouma']"
inchalla narb7ou derby,1,3,"['inchalla', 'narb7ou', 'derby']"
great job as always keep it up 3,1,8,"['great', 'job', 'as', 'always', 'keep', 'it', 'up', '3']"
hhhh m3alm y 7oumaa,1,4,"['hhhh', 'm3alm', 'y', '7oumaa']"
3al hit lyoum el mikari bayen beli zeeeeeorooooo,0,8,"['3al', 'hit', 'lyoum', 'el', 'mikari', 'bayen', 'beli', 'zeeeeeorooooo']"
mashallah khoya samaraa m3allemm grandissimo,1,5,"['mashallah', 'khoya', 'samaraa', 'm3allemm', 'grandissimo']"
sloma m3edhebhom b flouso rjel tekseb wetta7ana te7seb,0,8,"['sloma', 'm3edhebhom', 'b', 'flouso', 'rjel', 'tekseb', 'wetta7ana', 'te7seb']"
ta7an france,0,2,"['ta7an', 'france']"
rabbim3aah watfou3lakleeb ettajame3 wa houtheelet el7ajjema,0,6,"['rabbim3aah', 'watfou3lakleeb', 'ettajame3', 'wa', 'houtheelet', 'el7ajjema']"
9oul tfthe7 fel 3bed rabi yzidhom,1,6,"['9oul', 'tfthe7', 'fel', '3bed', 'rabi', 'yzidhom']"
cha3eb yourid 9aiss el ya39oùbï,1,5,"['cha3eb', 'yourid', '9aiss', 'el', 'ya39oùbï']"
mala terma,1,2,"['mala', 'terma']"
tla3 famma 3bed t7eb t7in 2akthar men 5addemet nabil,0,9,"['tla3', 'famma', '3bed', 't7eb', 't7in', '2akthar', 'men', '5addemet', 'nabil']"
bara 3oum,0,2,"['bara', '3oum']"
m3alem lcubestya es7a7 lkolha m3ak chmeta fi essare9 bousbi3,1,9,"['m3alem', 'lcubestya', 'es7a7', 'lkolha', 'm3ak', 'chmeta', 'fi', 'essare9', 'bousbi3']"
yarhem lom eli jabtek ya ja3foura,1,6,"['yarhem', 'lom', 'eli', 'jabtek', 'ya', 'ja3foura']"
